,S.No,actual,pred,alive,plod,name,title,male,culture,dateOfBirth,DateoFdeath,mother,father,heir,house,spouse,book1,book2,book3,book4,book5,isAliveMother,isAliveFather,isAliveHeir,isAliveSpouse,isMarried,isNoble,age,numDeadRelations,boolDeadRelations,isPopular,popularity,isAlive
505,506,1,1,0.987,0.013000000000000001,Ezzara,Blue Grace,0,Ghiscari,,,,,,,,0,0,0,0,1,,,,,0,1,,0,0,0,0.00668896321070234,1
506,507,1,0,0.057999999999999996,0.9420000000000001,Euron Greyjoy,,1,Ironborn,,,Lady of House Sunderly,Quellon Greyjoy,,,,0,0,0,0,0,1.0,0.0,,,0,0,,4,1,1,0.7391304347826079,1
507,508,1,1,0.988,0.012,Ezzelyno,Red Priest,0,Braavosi,,,,,,R'hllor,,0,0,0,1,0,,,,,0,1,,0,0,0,0.0133779264214046,1
508,509,1,1,0.76,0.24,Fern,,0,,,,,,,,,0,0,1,0,0,,,,,0,0,,0,0,0,0.00668896321070234,1
509,510,1,1,0.991,0.009000000000000001,Ferny,,0,Free Folk,,,,,,,Craster,0,0,1,1,0,,,,0.0,1,0,,0,0,0,0.0167224080267558,1
510,511,1,1,0.804,0.196,Ferret,,0,,,,,,,,,0,0,0,0,0,,,,,0,0,,0,0,0,0.00334448160535117,1
511,512,0,1,0.5429999999999999,0.457,Fogo,Khalakka,1,Dothraki,,298.0,,,,,,1,0,0,0,0,,,,,0,1,,0,0,0,0.020066889632107,0
512,513,1,1,0.7929999999999999,0.207,Fornio,,1,,,,,,,Night's Watch,,0,0,1,0,0,,,,,0,0,,0,0,0,0.0100334448160535,1
513,514,1,1,0.9990000000000001,0.001,Fralegg,,1,Ironborn,,,,,,,,0,0,0,1,0,,,,,0,0,,0,0,0,0.00668896321070234,1
514,515,0,0,0.213,0.787,Frenya,,1,Free Folk,,300.0,,,,,,0,0,0,0,1,,,,,0,0,,0,0,0,0.0434782608695652,0
515,516,1,1,0.988,0.012,Frynne,,0,,,,,,,,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0,1
516,517,1,0,0.19899999999999998,0.8009999999999999,Gage,,0,,,,,,,House Stark,,1,1,1,0,0,,,,,0,0,,0,0,0,0.0334448160535117,1
517,518,1,1,0.7929999999999999,0.207,Galladon of Morne,Ser,1,,,,,,,,,0,0,0,0,0,,,,,0,1,,0,0,0,0.0,1
518,519,1,1,0.997,0.003,Gallard,Archmaester,0,,,,,,,,,0,0,0,1,0,,,,,0,1,,0,0,0,0.0100334448160535,1
519,520,1,1,0.99,0.01,Galt,,0,Vale mountain clans,,,,,,Stone Crows,,0,1,0,1,0,,,,,0,0,,0,0,0,0.00334448160535117,1
520,521,1,1,0.7170000000000001,0.28300000000000003,Galtry the Green,Ser,1,,,,,,,,,0,0,0,0,0,,,,,0,1,,0,0,0,0.0133779264214046,1
521,522,1,1,0.7240000000000001,0.276,Galyeon of Cuy,,1,,,,,,,,,0,0,1,0,0,,,,,0,0,,0,0,0,0.00668896321070234,1
522,523,1,1,0.7190000000000001,0.281,Gareth the Grey,Ser,1,,,,,,,,,0,0,0,0,0,,,,,0,1,,0,0,0,0.00334448160535117,1
523,524,1,1,0.7959999999999999,0.204,Garigus,Wisdom,1,,,,,,,Alchemists' Guild,,0,0,1,0,0,,,,,0,1,,0,0,0,0.020066889632107,1
524,525,1,1,0.998,0.002,Garizon,Archmaester,0,,,,,,,,,0,0,0,1,0,,,,,0,1,,0,0,0,0.00668896321070234,1
525,526,1,1,0.802,0.198,Gariss,,1,,,,,,,House Stark,,0,1,0,0,0,,,,,0,0,,0,0,0,0.0,1
526,527,1,1,0.9890000000000001,0.011000000000000001,Garrett Paege,,1,,,,,,,House Paege,,0,0,0,1,1,,,,,0,0,,0,0,0,0.0133779264214046,1
527,528,1,1,0.7959999999999999,0.204,Garth XII Gardener,,0,,,,,,,,,0,0,0,0,0,,,,,0,0,,0,0,0,0.0133779264214046,1
528,529,0,0,0.374,0.626,Garth of Oldtown,,0,,,299.0,,,,Night's Watch,,0,0,1,0,0,,,,,0,0,,0,0,0,0.020066889632107,0
529,530,1,1,0.993,0.006999999999999999,Gascoyne,Ser,0,,,,,,,House Martell,,0,0,0,1,1,,,,,0,1,,0,0,0,0.0133779264214046,1
530,531,1,0,0.28300000000000003,0.7170000000000001,Gavin,,0,Free Folk,,,,,,,,0,0,0,0,1,,,,,0,0,,0,0,0,0.00668896321070234,1
531,532,0,0,0.303,0.6970000000000001,Gelmarr,,1,,,299.0,,,,House Greyjoy,,0,1,0,0,1,,,,,0,0,,0,0,0,0.0267558528428093,0
532,533,1,1,0.7120000000000001,0.28800000000000003,Gerren,,0,,,,,,,,,0,1,0,0,0,,,,,0,0,,0,0,0,0.0167224080267558,1
533,534,0,0,0.008,0.992,Gerold Lannister,Casterly Rock,1,Westerman,,244.0,,,,House Lannister,Alysanne Farman,0,0,0,0,0,,,,1.0,1,1,,0,0,0,0.0869565217391304,0
534,535,1,0,0.006999999999999999,0.993,Ghael,Lord,1,Astapori,,,,,,,,0,0,1,0,1,,,,,0,1,,0,0,0,0.0234113712374581,1
535,536,1,1,0.9840000000000001,0.016,Gillam,Brother,1,,,,,,,,,0,0,0,1,0,,,,,0,1,,0,0,0,0.0100334448160535,1
536,537,0,1,0.659,0.341,Gladden Wylde,Ser,1,,,298.0,,,,House Wylde,,1,0,0,0,0,,,,,0,1,,0,0,0,0.0167224080267558,0
537,538,0,0,0.001,0.9990000000000001,Glendon Flowers,Ser,1,,196.0,,,,,,,0,0,0,0,0,,,,,0,1,100.0,0,0,0,0.0802675585284281,0
538,539,1,1,0.99,0.01,Goady,,0,,,,,,,Night's Watch,,0,0,1,1,1,,,,,0,0,,0,0,0,0.0167224080267558,1
539,540,1,1,0.71,0.29,Godwyn,,1,,,,,,,House Lannister,,1,0,0,0,0,,,,,0,0,,0,0,0,0.0,1
540,541,1,1,0.998,0.002,Gormond Drumm,,1,Ironborn,,,,,,House Drumm,,0,0,0,1,0,,,,,0,0,,0,0,0,0.00668896321070234,1
541,542,1,0,0.486,0.514,Gowen Baratheon,,1,,,,,,,House Baratheon,Tya Lannister,1,0,0,0,0,,,,1.0,1,0,,0,0,0,0.0167224080267558,1
542,543,1,0,0.434,0.5660000000000001,Grance Morrigen,Ser,1,,,,,,,House Morrigen,,0,0,0,0,0,,,,,0,1,,0,0,0,0.0100334448160535,1
543,544,0,1,0.518,0.48200000000000004,Grazdan,Good Master,1,Astapori,,299.0,,,,,,0,0,1,0,0,,,,,0,1,,0,0,0,0.0133779264214046,0
544,545,1,0,0.004,0.996,Grazdan zo Galare,,1,Meereenese,,,,,,House of Galare,,0,0,0,0,1,,,,,0,0,,0,0,0,0.020066889632107,1
545,546,1,1,0.7190000000000001,0.281,Green Gergen,,1,,,,,,,,,0,0,0,0,0,,,,,0,0,,0,0,0,0.0,1
546,547,1,1,0.7,0.3,Great Walrus,,1,Free Folk,,,,,,,,0,0,0,0,1,,,,,0,0,,0,0,0,0.0133779264214046,1
547,548,1,1,0.988,0.012,Gretchel,,1,,,,,,,House Arryn,,0,0,0,1,1,,,,,0,0,,0,0,0,0.0167224080267558,1
548,549,1,1,0.586,0.414,Grey King,,1,Ironborn,,,,,,,,0,0,0,0,0,,,,,0,0,,0,0,0,0.0769230769230769,1
549,550,1,1,0.922,0.078,Griffin King,,1,First Men,,,,,,,,0,0,0,0,0,,,,,0,0,,0,0,0,0.020066889632107,1
550,551,1,1,0.848,0.152,Grigg,,0,Free Folk,,,,,,,,0,0,1,1,0,,,,,0,0,,0,0,0,0.00668896321070234,1
551,552,1,1,0.941,0.059000000000000004,Grisel,,0,,,,,,,House Baelish,,0,0,1,0,0,,,,,0,0,,0,0,0,0.00334448160535117,1
552,553,1,0,0.293,0.7070000000000001,Grisella,,0,Free Folk,,,,,,,,0,0,0,0,1,,,,,0,0,,0,0,0,0.0100334448160535,1
553,554,1,1,0.9940000000000001,0.006,Gulian,Maester,0,,,,,,,,,0,0,0,1,0,,,,,0,1,,0,0,0,0.00334448160535117,1
554,555,1,1,0.98,0.02,Gulian Qorgyle,Ser,1,,,,,,,House Qorgyle,,0,0,0,1,0,,,,,0,1,,0,0,0,0.0133779264214046,1
555,556,1,1,0.937,0.063,Gurn,,0,Vale mountain clans,,,,,,Stone Crows,,1,0,0,0,0,,,,,0,0,,0,0,0,0.00334448160535117,1
556,557,1,1,0.998,0.002,Guyne,Archmaester,0,,,,,,,,,0,0,0,1,0,,,,,0,1,,0,0,0,0.00668896321070234,1
557,558,1,1,0.8320000000000001,0.168,Gwayne Corbray,Ser,1,,,,,,,House Corbray,,0,0,0,1,0,,,,,0,1,,0,0,0,0.0434782608695652,1
558,559,1,0,0.162,0.838,Gwayne Gaunt,Ser,0,,,,,,,House Gaunt,,0,0,1,0,0,,,,,0,1,,0,0,0,0.0367892976588628,1
559,560,1,1,0.9590000000000001,0.040999999999999995,Gwin Goodbrother,,0,Ironborn,,,,,,House Goodbrother,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0267558528428093,1
560,561,1,1,0.988,0.012,Gyles,Ser,0,,,,,,,Kingsguard,,0,0,0,1,0,,,,,0,1,,0,0,0,0.00334448160535117,1
561,562,1,1,0.981,0.019,Gyleno Dothare,,1,Braavosi,,,,,,,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0133779264214046,1
562,563,1,1,0.997,0.003,Gyles Farwynd,,1,Ironborn,,,,,,House Farwynd of the Lonely Light,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0100334448160535,1
563,564,1,1,0.638,0.36200000000000004,Gwynesse Harlaw,,0,Ironborn,,,,,,House Harlaw,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0568561872909698,1
564,565,1,1,0.946,0.054000000000000006,Gyles Grafton,,1,,,,,,,House Grafton,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0167224080267558,1
565,566,1,1,0.9790000000000001,0.021,Gyloro Dothare,,1,Braavosi,,,,,,,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0133779264214046,1
566,567,1,1,0.7020000000000001,0.298,Gyles III Gardener,,1,,,,,,,,,0,0,0,0,0,,,,,0,0,,0,0,0,0.020066889632107,1
567,568,0,0,0.303,0.6970000000000001,Gynir,,1,,,299.0,,,,House Greyjoy,,0,1,0,0,1,,,,,0,0,,0,0,0,0.0267558528428093,0
568,569,1,0,0.228,0.772,Haggon,,1,Free Folk,,,,,,,,0,0,0,0,1,,,,,0,0,,0,0,0,0.020066889632107,1
569,570,1,1,0.997,0.003,Gysella Goodbrother,,0,Ironborn,,,,,,House Goodbrother,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0267558528428093,1
570,571,0,1,0.6659999999999999,0.33399999999999996,Hali,,0,Free Folk,,298.0,,,,,,1,0,0,0,0,,,,,0,0,,0,0,0,0.020066889632107,0
571,572,1,0,0.267,0.733,Haldon,,1,,,,,,,House Targaryen,,0,0,0,0,1,,,,,0,0,,0,0,0,0.127090301003344,1
572,573,1,1,0.705,0.295,Harbert Paege,Ser,0,,,,,,,House Paege,,0,0,0,0,0,,,,,0,1,,0,0,0,0.0133779264214046,1
573,574,0,1,0.988,0.012,Hamish the Harper,,0,,,300.0,,,,,,0,0,1,1,1,,,,,0,0,,0,0,0,0.020066889632107,0
574,575,0,0,0.301,0.6990000000000001,Halys Hornwood,Hornwood,1,Northmen,,298.0,,,,House Hornwood,Donella Manderly,1,1,0,1,0,,,,1.0,1,1,,0,0,0,0.107023411371237,0
575,576,0,1,0.982,0.018000000000000002,Harghaz,,1,Ghiscari,,300.0,,,,,,0,0,0,0,1,,,,,0,0,,0,0,0,0.0234113712374581,0
576,577,1,0,0.193,0.807,Hareth (Mole's Town),,1,,,,,,,Night's Watch,,0,0,0,0,0,,,,,0,0,,0,0,0,0.0501672240802675,1
577,578,0,1,0.598,0.402,Harlan Grandison,Ser,1,,,281.0,,,,House Grandison,,0,0,1,0,0,,,,,0,1,,0,0,0,0.0167224080267558,0
578,579,1,0,0.303,0.6970000000000001,Harle the Handsome,,1,Free Folk,,,,,,,,0,0,0,0,1,,,,,0,0,,0,0,0,0.0133779264214046,1
579,580,1,1,0.7609999999999999,0.239,Harle the Huntsman,,1,Free Folk,,,,,,,,0,0,0,0,1,,,,,0,0,,0,0,0,0.0167224080267558,1
580,581,1,1,0.8640000000000001,0.136,Harlon Botley,,1,Ironborn,,,,,,House Botley,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0468227424749163,1
581,582,1,1,0.94,0.06,Harmund Sharp,,1,Ironborn,,,,,,House Sharp,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0100334448160535,1
582,583,1,1,0.7040000000000001,0.29600000000000004,Harlon Greyjoy,,1,Ironborn,,,,,,House Greyjoy,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0635451505016722,1
583,584,1,1,0.998,0.002,Harodon,Archmaester,0,,,,,,,,,0,0,0,1,0,,,,,0,1,,0,0,0,0.00668896321070234,1
584,585,0,1,0.804,0.196,Harra,,0,,,299.0,,,,House Whent,,0,1,0,0,0,,,,,0,0,,0,0,0,0.0167224080267558,0
585,586,0,1,0.935,0.065,Harrag Sharp,,0,Ironborn,,299.0,,,,House Sharp,,0,1,0,0,0,,,,,0,0,,0,0,0,0.0167224080267558,0
586,587,1,0,0.40299999999999997,0.597,Harrag Hoare,,1,Ironborn,,,,,,,,0,0,0,0,0,,,,,0,0,,0,0,0,0.0267558528428093,1
587,588,1,1,0.998,0.002,Harren Half-Hoare,,1,Ironborn,,,,,,,,0,0,0,1,1,,,,,0,0,,0,0,0,0.0167224080267558,1
588,589,0,1,0.9690000000000001,0.031,Harren Botley,,0,Ironborn,,299.0,,,,House Botley,,0,0,0,1,0,,,,,0,0,,0,0,0,0.060200668896321,0
589,590,1,0,0.193,0.807,Harrold Osgrey,Ser,1,,,,,,,House Osgrey,,0,0,0,0,0,,,,,0,1,,0,0,0,0.0234113712374581,1
590,591,1,1,0.968,0.032,Harry Sawyer,Ser,0,,,,,,,House Sawyer,,0,0,0,1,0,,,,,0,1,,0,0,0,0.0167224080267558,1
591,592,0,1,0.813,0.187,Harsley,,1,,,299.0,,,,,,0,0,1,0,1,,,,,0,0,,0,0,0,0.00334448160535117,0
592,593,1,0,0.152,0.848,Harwyn Hoare,,1,,,,,Qhorwyn Hoare,Halleck Hoare,,,0,0,0,0,0,,1.0,1.0,,0,0,,0,0,0,0.10033444816053501,1
593,594,1,1,0.741,0.259,Hayhead,,1,Northmen,,,,,,House Stark,,0,1,0,0,0,,,,,0,0,,0,0,0,0.0167224080267558,1
594,595,1,1,0.905,0.095,Hazrak zo Loraq,,1,Ghiscari,,,,,,House of Loraq,,0,0,0,0,1,,,,,0,0,,0,0,0,0.0100334448160535,1
595,596,1,1,0.73,0.27,Harwyn Plumm,Ser,1,,,,,,,House Plumm,,0,0,1,1,0,,,,,0,1,,0,0,0,0.0468227424749163,1
596,597,0,0,0.022000000000000002,0.978,Helicent Uffering,,0,,171.0,,,,,House Uffering,,0,0,0,0,0,,,,,0,0,100.0,0,0,0,0.0234113712374581,0
597,598,1,1,0.991,0.009000000000000001,Helliweg,Maester,0,,,,,,,,,0,0,0,1,0,,,,,0,1,,0,0,0,0.0100334448160535,1
598,599,1,1,0.985,0.015,Helly,,0,,,,,,,,,0,0,1,1,0,,,,,0,0,,0,0,0,0.0133779264214046,1
599,600,1,1,0.927,0.073,Helya,,0,,,,,,,House Greyjoy,,0,1,1,1,0,,,,,0,0,,0,0,0,0.0167224080267558,1
600,601,1,1,0.773,0.22699999999999998,Henk,,1,Free Folk,,,,,,,,0,0,1,1,0,,,,,0,0,,0,0,0,0.00668896321070234,1
601,602,1,1,0.885,0.115,Henly (House Ashford),,0,,,,,,,House Ashford,,0,0,0,0,0,,,,,0,0,,0,0,0,0.00668896321070234,1
602,603,1,1,0.976,0.024,Herbert Bolling,Ser,0,,,,,,,House Bolling,,0,0,0,1,0,,,,,0,1,,0,0,0,0.0100334448160535,1
603,604,0,0,0.262,0.738,Hendry Bracken,,0,,,299.0,,,,House Bracken,,0,1,0,0,0,,,,,0,0,,0,0,0,0.040133779264214,0
604,605,0,0,0.23199999999999998,0.768,Heward,,0,northmen,,298.0,,,,House Stark,,1,0,0,0,0,,,,,0,0,,0,0,0,0.020066889632107,0
605,606,1,1,0.988,0.012,Hibald,,1,,,,,,,,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0133779264214046,1
606,607,1,1,0.997,0.003,Hilmar Drumm,,1,Ironborn,,,,,,House Drumm,,0,0,0,1,0,,,,,0,0,,0,0,0,0.00668896321070234,1
607,608,1,1,0.7020000000000001,0.298,Hod,,1,,,,,,,,,0,1,0,0,0,,,,,0,0,,0,0,0,0.00334448160535117,1
608,609,1,1,0.988,0.012,Hoke,,0,,,,,,,House Lannister,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0100334448160535,1
609,610,1,1,0.8370000000000001,0.163,Holger,,0,Vale mountain clans,,,,,,Stone Crows,,0,1,0,0,0,,,,,0,0,,0,0,0,0.00334448160535117,1
610,611,1,1,0.7090000000000001,0.29100000000000004,Hop-Robin,,1,,,,,,,Night's Watch,,0,0,1,1,1,,,,,0,0,,0,0,0,0.0334448160535117,1
611,612,1,1,0.951,0.049,Hugh Beesbury,Ser,0,,,,,,,House Beesbury,,0,0,0,1,0,,,,,0,1,,0,0,0,0.0133779264214046,1
612,613,1,1,0.738,0.262,Humfrey Clifton,Ser,1,,,,,,,House Clifton,,0,0,0,0,1,,,,,0,1,,0,0,0,0.0133779264214046,1
613,614,1,1,0.873,0.127,Hunnimore,Maester,0,,,,,,,,,0,0,0,0,0,,,,,0,1,,0,0,0,0.0,1
614,615,1,1,0.659,0.341,Husband,,1,,,,,,,,Sharna,0,0,1,1,0,,,,1.0,1,0,,0,0,0,0.0434782608695652,1
615,616,1,1,0.76,0.24,Illifer,Ser,1,,240.0,,,,,,,0,0,0,1,0,,,,,0,1,65.0,0,0,0,0.040133779264214,1
616,617,1,1,0.813,0.187,Ironbelly,,1,,,,,,,,,0,1,1,0,0,,,,,0,0,,0,0,0,0.0100334448160535,1
617,618,0,0,0.034,0.966,Jaehaerys Targaryen (son of Aegon II),Prince,1,,123.0,129.0,,,,House Targaryen,,0,0,0,0,0,,,,,0,1,6.0,0,0,0,0.187290969899665,0
618,619,0,0,0.023,0.977,Jaehaera Targaryen,PrincessQueen,0,Valyrian,123.0,133.0,,,,House Targaryen,Aegon III Targaryen,0,0,0,0,0,,,,0.0,1,1,10.0,0,0,0,0.280936454849498,0
619,620,1,1,0.8220000000000001,0.17800000000000002,Jaggot,,0,Vale mountain clans,,,,,,Stone Crows,,1,0,0,0,0,,,,,0,0,,0,0,0,0.0,1
620,621,0,0,0.207,0.7929999999999999,Jaehaerys II Targaryen,,1,,,,Betha Blackwood,Aegon V Targaryen,Aerys II Targaryen,,,0,0,0,0,0,1.0,0.0,0.0,,0,0,,0,0,1,0.49498327759197297,0
621,622,1,1,0.7290000000000001,0.271,Jaime Frey,,1,,299.0,,,,,House Frey,,0,0,0,1,0,,,,,0,0,6.0,0,0,0,0.127090301003344,1
622,623,0,0,0.009000000000000001,0.991,Jaehaerys I Targaryen,,1,,,,Alyssa Velaryon,Aenys I Targaryen,Aemon Targaryen,,,0,0,0,0,0,1.0,0.0,1.0,,0,0,,5,1,1,0.65886287625418,0
623,624,0,1,0.983,0.017,Jate,,0,,,300.0,,,,,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0,0
624,625,1,1,0.745,0.255,Jate Blackberry,,1,,,,,,,House Blackberry,,0,0,1,0,0,,,,,0,0,,0,0,0,0.0100334448160535,1
625,626,1,1,0.794,0.20600000000000002,Jasper Waynwood,,1,,,,,,,House Waynwood,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0568561872909698,1
626,627,1,0,0.467,0.5329999999999999,Jayde,,0,,,,,,,Chataya's brothel,,0,0,1,0,0,,,,,0,0,,0,0,0,0.020066889632107,1
627,628,1,1,0.9840000000000001,0.016,Jeffory Norcross,Ser,1,,,,,,,House Norcross,,0,0,0,1,0,,,,,0,1,,0,0,0,0.00668896321070234,1
628,629,1,1,0.8370000000000001,0.163,Jeffory Mallister,,1,,,,,,,House Mallister,,0,1,0,0,0,,,,,0,0,,0,0,0,0.020066889632107,1
629,630,1,1,0.722,0.278,Jayne Bracken,,0,,,,,,,House Bracken,,0,0,0,0,1,,,,,0,0,,0,0,0,0.0301003344481605,1
630,631,1,1,0.76,0.24,Squinty Jeyne,,0,,,,,,,House Osgrey,,0,0,0,0,0,,,,,0,0,,0,0,0,0.00668896321070234,1
631,632,1,1,0.961,0.039,Jeyne Fossoway,,0,,,,,,,House Fossoway of New Barrel,Gunthor Hightower,0,0,0,1,0,,,,1.0,1,0,,0,0,0,0.0535117056856187,1
632,633,1,1,0.703,0.297,Jeyne Heddle,,0,,281.0,,,,,Brotherhood Without Banners,,0,0,0,1,0,,,,,0,0,24.0,0,0,0,0.0334448160535117,1
633,634,1,1,0.725,0.275,Jeyne Swann,,0,,,,,,,House Swann,,0,0,1,0,0,,,,,0,0,,0,0,0,0.0167224080267558,1
634,635,0,0,0.213,0.787,Jeyne Westerling (wife of Maegor I),QueenBlack Bride,0,,27.0,47.0,,,,House Westerling,Alyn Tarbeck,0,0,1,0,0,,,,1.0,1,1,20.0,0,0,0,0.11036789297658801,0
635,636,0,0,0.002,0.998,Jeyne Waters,,1,Westeros,171.0,,,,,,,0,0,0,0,0,,,,,0,0,100.0,0,0,0,0.0735785953177257,0
636,637,1,0,0.385,0.615,Jeyne Westerling,Winterfell,0,Westermen,283.0,,,,,House Westerling,Robb Stark,0,0,1,1,0,,,,0.0,1,1,22.0,0,0,1,0.42474916387959794,1
637,638,1,1,0.993,0.006999999999999999,Jocelyn Swyft,,0,,,,,,,House Swyft,,0,0,0,1,1,,,,,0,0,,0,0,0,0.0167224080267558,1
638,639,1,1,0.6920000000000001,0.308,Jodge,,1,,,,,,,House Lannister,,0,1,0,0,0,,,,,0,0,,0,0,0,0.00334448160535117,1
639,640,1,1,0.879,0.121,Joanna Swyft,,0,,,,,,,House Swyft,,0,0,1,1,0,,,,,0,0,,0,0,0,0.0234113712374581,1
640,641,0,0,0.054000000000000006,0.946,Joanna Lannister,Casterly Rock,0,Westerman,245.0,273.0,,,,House Lannister,Tywin Lannister,1,1,1,1,1,,,,0.0,1,1,28.0,5,1,0,0.23076923076923,0
641,642,1,1,0.848,0.152,Johanna Swann,,0,,,,,,,House Swann,,0,0,0,0,0,,,,,0,0,,0,0,0,0.020066889632107,1
642,643,1,1,0.987,0.013000000000000001,Jommo,Khal,1,Dothraki,,,,,,,,1,0,0,1,0,,,,,0,0,,0,0,0,0.0100334448160535,1
643,644,1,1,0.898,0.102,Jommy,,1,,,,,,,House Baratheon,,0,1,0,0,0,,,,,0,0,,0,0,0,0.00334448160535117,1
644,645,1,1,0.544,0.456,Jon Cupps,Ser,1,,,,,,,House Cupps,Leyla Hightower,0,0,0,1,0,,,,1.0,1,1,,0,0,0,0.0501672240802675,1
645,646,1,1,0.893,0.107,Jon Heddle,Ser,1,,,,,,,House Heddle,,0,0,0,1,0,,,,,0,1,,0,0,0,0.00668896321070234,1
646,647,1,1,0.687,0.313,Jon Hollard,Ser,1,,,,,,,House Hollard,,0,0,0,1,0,,,,,0,1,,0,0,0,0.0267558528428093,1
647,648,1,1,0.993,0.006999999999999999,Jon Penny,,0,,,,,,,House Penny,,0,0,0,1,0,,,,,0,0,,0,0,0,0.00668896321070234,1
648,649,1,1,0.53,0.47,Jon Penrose,Ser,1,,,,,,,House Penrose,,0,0,0,0,0,,,,,0,1,,0,0,0,0.0167224080267558,1
649,650,1,1,0.982,0.018000000000000002,Jon Pox,,1,,,,,,,,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0167224080267558,1
650,651,1,1,0.841,0.159,Jon Vance,Maester,1,,,,,,,,,0,0,0,1,0,,,,,0,1,,0,0,0,0.0234113712374581,1
651,652,0,1,0.847,0.153,Jon Umber (Smalljon),,1,Northmen,,299.0,,,,House Umber,,1,1,1,1,1,,,,,0,0,,0,0,0,0.0702341137123745,0
652,653,1,1,0.624,0.376,Jon Umber (Greatjon),Last Hearth,1,Northmen,,,,,,House Umber,,1,1,1,1,1,,,,,0,1,,0,0,0,0.183946488294314,1
653,654,0,0,0.016,0.9840000000000001,Jon Waters,Ser,1,,171.0,,,,,,,0,0,0,1,0,,,,,0,1,100.0,0,0,0,0.0769230769230769,0
654,655,1,1,0.991,0.009000000000000001,Jorquen,Septon,1,,,,,,,Night's Watch,,0,0,0,1,0,,,,,0,0,,0,0,0,0.00334448160535117,1
655,656,1,1,0.813,0.187,Jorgen,,1,,,,,,,House Webber,,0,0,0,0,0,,,,,0,0,,0,0,0,0.0,1
656,657,1,1,0.99,0.01,Joseran,Maester,0,,,,,,,,,0,0,0,1,0,,,,,0,1,,0,0,0,0.00334448160535117,1
657,658,1,0,0.122,0.878,Joseth,,1,,,,,,,House Stark,,1,1,0,0,0,,,,,0,0,,0,0,0,0.0301003344481605,1
658,659,1,1,0.9,0.1,Joseth Mallister,Ser,0,,,,,,,House Mallister,,0,0,0,0,0,,,,,0,1,,0,0,0,0.0133779264214046,1
659,660,1,1,0.574,0.426,Joss,,1,,,,,,,,,1,0,0,0,0,,,,,0,0,,0,0,0,0.00334448160535117,1
660,661,1,1,0.985,0.015,Joss the Gloom,,0,Braavosi,,,,,,,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0100334448160535,1
661,662,1,1,0.76,0.24,Joth Quickbow,,0,,,,,,,,,0,0,1,0,0,,,,,0,0,,0,0,0,0.0,1
662,663,1,1,0.7829999999999999,0.217,Josua Willum,,1,,,,,,,House Willum,,0,1,0,0,0,,,,,0,0,,0,0,0,0.0133779264214046,1
663,664,1,1,0.9890000000000001,0.011000000000000001,Jurne,Maester,0,,,,,,,,,0,1,1,1,0,,,,,0,1,,0,0,0,0.0133779264214046,1
664,665,1,1,0.9279999999999999,0.07200000000000001,Jothos Slynt,,1,,,,,,,House Slynt,,0,0,1,0,0,,,,,0,0,,0,0,0,0.0234113712374581,1
665,666,0,0,0.12,0.88,Jyck,,1,,,298.0,,,,House Lannister,,1,0,0,0,0,,,,,0,0,,0,0,0,0.0301003344481605,0
666,667,1,1,0.983,0.017,Jyzene,,0,,,,,,,,,0,0,1,1,0,,,,,0,0,,0,0,0,0.0133779264214046,1
667,668,1,1,0.983,0.017,Kegs,,1,,,,,,,Night's Watch,,0,0,1,1,1,,,,,0,0,,0,0,0,0.0167224080267558,1
668,669,1,1,0.9470000000000001,0.053,Kella,,0,,,,,,,House Baelish,,0,0,1,0,0,,,,,0,0,,0,0,0,0.00334448160535117,1
669,670,1,1,0.997,0.003,Kemmett Pyke,,0,Ironborn,,,,,,,,0,0,0,1,1,,,,,0,0,,0,0,0,0.0100334448160535,1
670,671,0,1,0.975,0.025,Kenned,,0,Ironborn,,299.0,,,,,,0,1,0,0,0,,,,,0,0,,0,0,0,0.00668896321070234,0
671,672,1,1,0.737,0.263,Ketter,,0,,,,,,,Night's Watch,,1,0,0,0,0,,,,,0,0,,0,0,0,0.0,1
672,673,1,1,0.813,0.187,Kirby Pimm,Ser,1,,,,,,,,,0,0,0,0,0,,,,,0,1,,0,0,0,0.0,1
673,674,1,1,0.995,0.005,Kojja Mo,,0,Summer Isles,,,,,,,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0167224080267558,1
674,675,1,1,0.767,0.233,Kirth Vance,,1,,,,,,,House Vance of Atranta,,0,0,1,1,0,,,,,0,0,,0,0,0,0.0267558528428093,1
675,676,0,0,0.193,0.807,Koss,,1,,,299.0,,,,,,0,1,0,0,0,,,,,0,0,,0,0,0,0.0367892976588628,0
